Month,site,specialty,AdmissionStatus,WeeksWaitCategory,PathwayCount
2023-01,LH,A&E,NonAdmitted,0-17 weeks,6
2023-01,LH,A&E,NonAdmitted,18-51 weeks,11
2023-01,LH,Audiology,Admitted,52+ weeks,1
2023-01,LH,Audiology,NonAdmitted,0-17 weeks,83
2023-01,LH,Audiology,NonAdmitted,18-51 weeks,81
2023-01,LH,Audiology,NonAdmitted,52+ weeks,28
2023-01,LH,Cardio,Admitted,0-17 weeks,4
2023-01,LH,Cardio,Admitted,18-51 weeks,1
2023-01,LH,Cardio,NonAdmitted,0-17 weeks,901
2023-01,LH,Cardio,NonAdmitted,18-51 weeks,1124
2023-01,LH,Cardio,NonAdmitted,52+ weeks,178
2023-01,LH,Clin Haem,Admitted,0-17 weeks,6
2023-01,LH,Clin Haem,Admitted,18-51 weeks,2
2023-01,LH,Clin Haem,NonAdmitted,0-17 weeks,283
2023-01,LH,Clin Haem,NonAdmitted,18-51 weeks,25
2023-01,LH,Clin Haem,NonAdmitted,52+ weeks,2
2023-01,LH,Colorect Surg,Admitted,0-17 weeks,34
2023-01,LH,Colorect Surg,Admitted,18-51 weeks,7
2023-01,LH,Colorect Surg,NonAdmitted,0-17 weeks,217
2023-01,LH,Colorect Surg,NonAdmitted,18-51 weeks,51
2023-01,LH,Colorect Surg,NonAdmitted,52+ weeks,14
2023-01,LH,Derm,Admitted,0-17 weeks,102
2023-01,LH,Derm,Admitted,18-51 weeks,11
2023-01,LH,Derm,Admitted,52+ weeks,3
2023-01,LH,Derm,NonAdmitted,0-17 weeks,872
2023-01,LH,Derm,NonAdmitted,18-51 weeks,416
2023-01,LH,Derm,NonAdmitted,52+ weeks,106
2023-01,LH,Diabetic,NonAdmitted,0-17 weeks,126
2023-01,LH,Diabetic,NonAdmitted,18-51 weeks,20
2023-01,LH,Diabetic,NonAdmitted,52+ weeks,1
2023-01,LH,Endocrin,NonAdmitted,0-17 weeks,229
2023-01,LH,Endocrin,NonAdmitted,18-51 weeks,25
